uid,seconds,ibi,pupil_size
edb,1,0.82,819.53
edb,2,1.09,770.55
edb,3,1.09,981.66
edb,4,1.81,945.93
edb,5,1.84,3868.39
edb,6,1.58,1327.85
edb,7,1.58,2117.35
edb,8,2.18,2163.93
edb,9,3.1,2041.24
edb,10,4.12,2169.76
edb,11,3.2,1657.8
edb,12,3.2,2155.34
edb,13,3.89,2729.0
edb,14,3.86,1816.35
edb,15,3.86,1849.04
edb,16,1.54,1321.15
edb,17,0.71,1267.95
edb,18,0.82,2598.33
edb,19,1.06,1788.11
edb,20,1.98,1764.93
edb,21,0.92,1473.98
edb,22,1.23,1717.5
edb,23,2.22,3400.32
edb,24,2.97,1967.03
edb,25,2.97,2040.44
edb,26,2.97,1515.94
edb,27,3.24,2328.79
edb,28,4.26,2037.56
edb,29,1.41,2492.72
edb,30,1.41,2492.72
edb,31,2.41,2492.72
edb,32,3.44,2492.72
edb,33,4.28,1736.47
edb,34,4.25,1531.87
edb,35,4.25,2156.65
edb,36,2.3,1181.35
edb,37,2.3,1181.35
edb,38,2.73,1181.35
edb,39,3.44,1974.38
edb,40,4.47,2225.59
edb,41,5.49,2225.59
edb,42,6.42,2225.59
edb,43,3.86,2566.21
edb,44,4.29,2756.26
edb,45,0.82,3236.34
edb,46,0.72,3173.73
edb,47,0.31,3031.63
edb,48,0.72,3402.79
edb,49,0.54,3549.08
edb,50,0.45,2690.88
edb,51,0.92,2537.99
edb,52,0.41,2363.87
edb,53,1.26,3201.14
edb,54,2.18,2917.82
edb,55,3.21,2917.82
edb,56,2.12,2352.3
edb,57,0.82,1612.59
edb,58,0.82,3004.15
edb,59,1.2,2883.25
edb,60,1.44,1303.36
edb,61,1.26,1225.23
edb,62,0.82,1240.24
edb,63,1.74,1240.24
edb,64,2.33,1768.97
edb,65,0.86,1347.09
edb,66,1.02,1113.79
edb,67,1.67,1823.44
edb,68,2.7,2023.39
edb,69,0.34,1894.34
edb,70,1.09,1470.59
edb,71,1.09,1231.51
edb,72,1.47,1209.78
edb,73,0.41,1068.23
edb,74,0.96,1296.68
edb,75,1.77,1351.82
edb,76,1.77,2242.53
edb,77,2.21,1011.29
edb,78,3.21,2194.04
edb,79,3.97,1508.24
edb,80,0.85,1017.79
edb,81,1.16,841.52
edb,82,0.44,1705.17
edb,83,1.36,1595.54
edb,84,1.87,1323.79
edb,85,1.44,1077.26
edb,86,0.82,1278.45
edb,87,1.23,1366.92
edb,88,0.38,789.81
edb,89,0.75,1304.68
edb,90,0.88,773.61
edb,91,0.24,971.08
edb,92,1.16,1129.11
edb,93,1.23,847.2
edb,94,1.47,950.25
edb,95,1.57,775.32
edb,96,1.84,592.16
edb,97,1.7,1009.54
edb,98,1.37,882.31
edb,99,1.46,788.6
edb,100,1.02,736.68
edb,101,2.05,736.68
edb,102,3.07,736.68
edb,103,3.34,1231.41
edb,104,0.14,1703.38
edb,105,0.96,1585.28
edb,106,1.4,2423.8
edb,107,2.43,2511.32
edb,108,2.96,2628.25
edb,109,1.26,1831.28
edb,110,2.3,1746.45
edb,111,3.24,1059.43
edb,112,4.3,1429.18
edb,113,5.21,2263.02
edb,114,6.23,2723.7
edb,115,7.27,1861.5
edb,116,6.54,1444.44
edb,117,6.54,1843.51
edb,118,2.83,2164.27
edb,119,2.83,2582.07
edb,120,2.37,2007.44
edb,121,2.37,1715.32
edb,122,0.59,1634.66
edb,123,1.59,1618.58
edb,124,2.19,2096.8
edb,125,0.71,1531.07
edb,126,1.66,2169.15
edb,127,2.67,2282.6
edb,128,3.69,2761.57
edb,129,4.62,1837.99
edb,130,5.33,2557.3
edb,131,5.33,1859.32
edb,132,5.33,2006.91
edb,133,5.33,2344.77
edb,134,3.91,977.5
edb,135,0.99,2053.54
edb,136,2.03,2389.94
edb,137,1.55,2232.37
edb,138,2.43,1446.54
edb,139,3.45,4003.38
edb,140,3.83,1673.29
edb,141,3.83,1673.29
edb,142,2.22,1764.57
edb,143,3.27,1769.17
edb,144,4.31,1647.27
edb,145,5.31,1468.14
edb,146,6.26,2429.66
edb,147,7.3,2151.13
edb,148,6.54,1823.52
edb,149,6.54,1695.36
edb,150,6.54,1372.8
edb,151,6.54,1532.07
edb,152,6.54,1532.07
edb,153,6.77,1532.07
edb,154,7.69,1532.07
edb,155,4.89,1893.27
edb,156,5.89,1893.27
edb,157,4.92,1912.44
edb,158,4.92,2163.21
edb,159,3.43,1359.34
edb,160,3.43,1359.34
edb,161,3.43,1359.34
edb,162,3.48,1359.34
edb,163,4.23,2000.83
edb,164,5.27,2080.86
edb,165,6.28,2414.32
edb,166,7.31,2107.92
edb,167,8.25,2888.07
edb,168,8.18,2116.35
edb,169,8.18,2432.78
edb,170,8.18,2323.38
edb,171,3.4,2170.76
edb,172,0.86,2365.89
edb,173,1.6,2477.85
edb,174,2.63,2398.68
edb,175,3.63,3004.91
edb,176,3.9,2879.44
edb,177,0.57,2551.62
edb,178,1.59,2551.62
edb,179,2.51,2551.62
edb,180,3.54,2551.62
edb,181,4.13,1950.41
edb,182,4.47,1875.97
edb,183,4.47,2383.62
edb,184,1.52,2956.08
edb,185,2.13,2042.49
edb,186,2.5,2064.71
edb,187,0.92,1962.64
edb,188,1.67,3263.25
edb,189,2.71,2241.09
edb,190,2.97,1866.12
edb,191,2.97,2226.67
edb,192,0.83,2744.73
edb,193,1.23,1222.74
edb,194,0.72,5439.79
edb,195,1.16,1903.49
edb,196,1.53,2173.64
edb,197,1.57,2732.45
